,time,open,high,low,close,tick_volume,spread,real_volume
11621,1569268800,107.421,107.573,107.421,107.524,8461,1,0
11622,1569276000,107.525,107.665,107.475,107.595,5691,1,0
11623,1569283200,107.596,107.687,107.566,107.577,6646,1,0
11624,1569290400,107.577,107.592,107.493,107.534,2889,1,0
11625,1569297600,107.535,107.651,107.514,107.584,4319,1,0
11626,1569304800,107.583,107.607,107.528,107.589,4986,1,0
11627,1569312000,107.588,107.801,107.583,107.736,6154,1,0
11628,1569319200,107.737,107.738,107.663,107.687,3832,1,0
11629,1569326400,107.686,107.714,107.631,107.645,5941,1,0
11630,1569333600,107.644,107.648,107.235,107.322,12478,1,0
11631,1569340800,107.321,107.352,107.01,107.103,13836,1,0
11632,1569348000,107.102,107.427,106.961,107.028,19062,1,0
11633,1569355200,107.026,107.119,106.988,107.11,6818,1,0
11634,1569362400,107.11,107.19,107.031,107.167,5791,1,0
11635,1569369600,107.167,107.259,107.0,107.25,12406,1,0
11636,1569376800,107.249,107.426,107.233,107.322,8136,1,0
11637,1569384000,107.322,107.38,107.303,107.342,4452,1,0
11638,1569391200,107.342,107.424,107.249,107.287,7917,1,0
11639,1569398400,107.287,107.37,107.247,107.331,7749,1,0
11640,1569405600,107.331,107.431,107.284,107.405,4310,1,0
11641,1569412800,107.404,107.621,107.399,107.545,9839,1,0
11642,1569420000,107.545,107.842,107.408,107.784,21025,1,0
11643,1569427200,107.785,107.884,107.741,107.771,11233,1,0
11644,1569434400,107.772,107.847,107.744,107.786,5634,1,0
11645,1569441600,107.785,107.812,107.689,107.719,8471,1,0
11646,1569448800,107.724,107.77,107.681,107.704,5526,1,0
11647,1569456000,107.705,107.73,107.604,107.713,7816,1,0
11648,1569463200,107.714,107.717,107.63,107.667,3791,1,0
11649,1569470400,107.667,107.696,107.644,107.658,3537,1,0
11650,1569477600,107.657,107.71,107.593,107.689,5497,1,0
11651,1569484800,107.688,107.7,107.576,107.618,5266,1,0
11652,1569492000,107.617,107.694,107.546,107.667,3902,1,0
11653,1569499200,107.667,107.707,107.423,107.542,12034,1,0
11654,1569506400,107.542,107.724,107.482,107.675,14002,1,0
11655,1569513600,107.676,107.887,107.667,107.842,8140,1,0
11656,1569520800,107.841,107.959,107.783,107.891,8842,1,0
11657,1569528000,107.89,107.89,107.805,107.836,6470,1,0
11658,1569535200,107.835,107.85,107.751,107.751,2117,1,0
11659,1569542400,107.752,107.806,107.668,107.741,8463,1,0
11660,1569549600,107.742,107.755,107.676,107.682,4015,1,0
11661,1569556800,107.682,107.767,107.657,107.748,4421,1,0
11662,1569564000,107.752,107.862,107.729,107.845,7981,1,0
11663,1569571200,107.844,107.962,107.831,107.949,4189,1,0
11664,1569578400,107.95,108.174,107.941,108.094,6719,1,0
11665,1569585600,108.094,108.151,108.021,108.065,9577,1,0
11666,1569592800,108.064,108.182,107.789,108.06,18757,1,0
11667,1569600000,108.058,108.089,107.831,107.934,16059,1,0
11668,1569607200,107.935,107.964,107.798,107.956,8699,1,0
11669,1569614400,107.957,107.968,107.893,107.946,855,1,0
11670,1569787200,107.969,108.021,107.954,107.987,202,2,0
11671,1569794400,107.981,108.0,107.855,107.948,3754,1,0
11672,1569801600,107.947,108.012,107.878,107.931,8771,1,0
11673,1569808800,107.932,107.957,107.891,107.945,2928,1,0
11674,1569816000,107.945,107.961,107.753,107.777,4723,1,0
11675,1569823200,107.778,107.872,107.744,107.86,8109,1,0
11676,1569830400,107.858,107.977,107.84,107.969,6359,1,0
11677,1569837600,107.97,107.985,107.886,107.955,3251,1,0
11678,1569844800,107.954,108.099,107.954,108.025,9893,1,0
11679,1569852000,108.024,108.148,107.925,108.114,11102,1,0
11680,1569859200,108.113,108.18,108.063,108.121,4853,1,0
11681,1569866400,108.12,108.143,108.056,108.114,4604,1,0
